Date,AAPL,BA,GOOGL,JNJ,JPM,MSFT,T,TSLA,WMT,XOM,^GSPC
2018-01-02,40.30417251586914,282.8863830566406,53.22063446044922,110.7641830444336,86.34088897705078,78.87035369873047,16.08772850036621,21.368667602539062,28.855201721191406,58.58042526245117,2695.81005859375
2018-01-03,40.29715347290039,283.8013000488281,54.128631591796875,111.82225036621094,86.42888641357422,79.2374038696289,15.716217041015625,21.149999618530273,29.10690689086914,59.73094177246094,2713.06005859375
2018-01-04,40.484336853027344,282.724365234375,54.33888626098633,111.81432342529297,87.66703033447266,79.93480682373047,15.86231517791748,20.974666595458984,29.13324546813965,59.813629150390625,2723.989990234375
2018-01-05,40.94526290893555,294.32232666015625,55.0594367980957,112.73711395263672,87.10421752929688,80.92583465576172,15.920755386352539,21.10533332824707,29.305923461914062,59.7653923034668,2743.14990234375
2018-01-08,40.79317855834961,295.57073974609375,55.25382614135742,112.88033294677734,87.23284912109375,81.0084228515625,15.966673851013184,22.42733383178711,29.739091873168945,60.034095764160156,2747.7099609375
2018-01-09,40.78849792480469,303.4615478515625,55.18341064453125,114.67031860351562,87.67503356933594,80.95338439941406,15.92504596710205,22.246000289916992,29.38201141357422,59.77916717529297,2751.2900390625
2018-01-10,40.779136657714844,305.2054748535156,55.05199432373047,114.53509521484375,88.63985443115234,80.5863265991211,15.5554838180542,22.31999969482422,29.171283721923828,59.303810119628906,2748.22998046875
2018-01-11,41.010772705078125,312.696044921875,55.14671325683594,115.18741607666016,89.11418914794922,80.82491302490234,15.496015548706055,22.530000686645508,29.273725509643555,59.889400482177734,2767.56005859375
2018-01-12,41.43427658081055,320.4057312011719,56.069091796875,115.95909881591797,90.58549499511719,82.21973419189453,15.674422264099121,22.4146671295166,29.52250099182129,60.29588317871094,2786.239990234375
2018-01-16,41.22370147705078,319.40509033203125,56.071563720703125,116.83422088623047,90.26390075683594,81.07266998291016,15.59796142578125,22.67066764831543,29.469812393188477,59.91694641113281,2776.419921875
2018-01-17,41.90455627441406,334.5100402832031,56.488128662109375,116.9297103881836,90.84278106689453,82.71522521972656,15.653181076049805,23.143999099731445,30.05811309814453,60.62656021118164,2802.56005859375
2018-01-18,41.941978454589844,324.1700744628906,56.33290481567383,116.8819580078125,91.05986785888672,82.67853546142578,15.780618667602539,22.971332550048828,30.526405334472656,60.23386764526367,2798.030029296875
2018-01-19,41.754798889160156,321.85430908203125,56.706321716308594,117.23199462890625,90.85884857177734,82.58675384521484,15.806106567382812,23.334667205810547,30.611265182495117,60.040977478027344,2810.300048828125
2018-01-22,41.413204193115234,322.11163330078125,57.73085403442383,117.85252380371094,91.92011260986328,84.06416320800781,16.086462020874023,23.437332153320312,30.862979888916016,60.79881286621094,2832.969970703125
2018-01-23,41.42256546020508,319.8148193359375,58.32643508911133,112.83261108398438,91.8236312866211,84.33027648925781,15.79761028289795,23.519332885742188,30.99468231201172,60.833248138427734,2839.1298828125
2018-01-24,40.76276397705078,318.95721435546875,58.08443069458008,113.02352142333984,92.99747467041016,84.25686645507812,15.725399017333984,23.05933380126953,30.962488174438477,60.9916877746582,2837.5400390625
2018-01-25,40.03510284423828,326.9813537597656,58.62248611450195,114.87715148925781,93.02157592773438,84.72483825683594,15.908055305480957,22.50933265686035,31.199556350708008,60.88147735595703,2839.25
