Date,AAPL,BA,GOOGL,JNJ,JPM,MSFT,T,TSLA,WMT,XOM,^GSPC
2018-02-14,0.01801038582811623,0.02525710687676194,0.020540210798177062,0.018080248885871248,0.01685182733196957,0.019758842585411412,0.017211782075128412,0.02564529401557839,0.014016588652114371,0.017195859732502032,0.013513662870896207
2018-02-15,0.019042223697064327,0.025762500645834747,0.020549639192815432,0.01814122986812581,0.016853426050357938,0.02003213017592122,0.01697400163727629,0.026368272994335577,0.01417960482606236,0.016655664797447553,0.013642921507735356
2018-02-16,0.01903445006275101,0.02576505202668675,0.020549056335140262,0.018396694136138425,0.016788925066511785,0.020071390291028012,0.01690035653946456,0.026302904124016355,0.014396747437538418,0.016696740158157242,0.013624143707057315
2018-02-20,0.01892232495052178,0.025012857074192665,0.020447604015876433,0.018506194577927352,0.016721583452364866,0.020007860960636992,0.01697721642940816,0.026302581289173958,0.024544029251010138,0.0167277295488107,0.013601678682254299
2018-02-21,0.018927831346437843,0.025049624351834724,0.020508879381988167,0.018510215556782714,0.016726460833720532,0.020199041383355217,0.017101170947360658,0.023847464912460297,0.024772714062690222,0.016695581266764542,0.013628517917028883
2018-02-22,0.018996297823689022,0.024732163755180617,0.02051740740585169,0.018182899374911694,0.016730204330784357,0.020196610217966437,0.017128416731429768,0.024788623843596695,0.024908057900818018,0.01700162274333608,0.013627093926954135
2018-02-23,0.019261836035943922,0.024731703970413396,0.020726614847973633,0.018528598855780374,0.016983589715972594,0.02061313381008727,0.016638731987803832,0.024950482672200486,0.024902619174498142,0.01762628966353318,0.013954208886945348
2018-02-26,0.019559045669935174,0.02459872900043345,0.020866085598340234,0.018546902707100882,0.01707850923434677,0.0207276383398352,0.017007924620230295,0.02503397305249256,0.024894961985364675,0.01784620624089611,0.014061131631550546
2018-02-27,0.01948958063948884,0.02428366499976398,0.021098784849265157,0.018459388780802204,0.017056478459713798,0.020737792145045043,0.017153667687579328,0.025271279911439536,0.024952851026687706,0.01793254651087556,0.014196878601500498
2018-02-28,0.019465849719067167,0.02432263356196351,0.021208906209051675,0.018441762604985167,0.01732844129424512,0.02055908208320041,0.01736788647407204,0.025578001110452084,0.025069989142342073,0.01827057112221913,0.014320669191408298
2018-03-01,0.01950058680780525,0.02384254035780091,0.021796480197470866,0.01865565990970237,0.017636637970219308,0.020384881044607325,0.01741015599342216,0.026108430047449088,0.024696851453087247,0.018022592249291012,0.014368960519910155
2018-03-02,0.019547495895045616,0.023265981780393352,0.02194182224245163,0.018888341545048874,0.01763247164451408,0.02038342015766076,0.017440049034390216,0.02620918039376761,0.024402934096472945,0.018103149339540676,0.014419004107732456
2018-03-05,0.019544637867402855,0.023573897464781418,0.02198956268242738,0.018965114053711526,0.017842962638056157,0.02039913985318767,0.017537321327527448,0.02602975005800794,0.02460514991998737,0.018282517633403814,0.014558102909257797
2018-03-06,0.019486299790767034,0.02368465948785799,0.02172915528537643,0.01893766625310544,0.01772169644646133,0.020182407141497823,0.017234582236994936,0.02612557487157119,0.02449415357995474,0.01802140322527321,0.014474715468912228
2018-03-07,0.019561615440833496,0.023665422578035552,0.021781959717997543,0.017540601496974964,0.0177352575459547,0.020198668396158418,0.01692654053294359,0.026244214083919505,0.024477570577451625,0.01839116552106914,0.01446113467564129
2018-03-08,0.019428087212937976,0.023661885621317616,0.021937108933611702,0.018161614170513717,0.017576245028022533,0.02021777291640159,0.016936640542019658,0.026073040654613678,0.024599394536921386,0.018341746131711644,0.014499440067550313
2018-03-09,0.019320498418173338,0.02342548648212894,0.022482916805244772,0.018059042086624406,0.018337400376521953,0.02056645941127946,0.016799269583427978,0.025741140360902793,0.024628032047406215,0.01845051152217006,0.014882585075337676
2018-03-12,0.019372918625597226,0.024092788273903182,0.02248136194856479,0.0180183406439667,0.01832877137761335,0.020318061476651342,0.01677011834581546,0.02753492090436764,0.024256469941340324,0.018499847792004656,0.014697336731979836
2018-03-13,0.0190186740558014,0.024245511960893806,0.022836238090970566,0.018164878894368387,0.018468081801516708,0.020854604776176185,0.016545204529638754,0.027363558328261126,0.02410192624482127,0.018483627287439162,0.014692536575627933
2018-03-14,0.019064416532810217,0.02462531067945936,0.0228631168255392,0.018285747463206346,0.018503137434306583,0.020746538220086215,0.016614611475322224,0.028514812688522073,0.024031460875190907,0.018460569043065672,0.014601761178532912
2018-03-15,0.019065443173126605,0.022841918363806977,0.022848665377847032,0.01755016771470834,0.018486726980992817,0.02027253918667394,0.016614615780594314,0.02808367411767044,0.0240357022497926,0.018589742402354018,0.014599517545229073
2018-03-16,0.019095170186077783,0.022784081612541442,0.02297634758912223,0.017380663779988755,0.018385628881272514,0.020234450717584347,0.014275230226658362,0.028066900537855436,0.02445606570006879,0.018190564719755397,0.014607303390190023
2018-03-19,0.017313777513513668,0.02248083194226245,0.021461743899208616,0.017742181825753912,0.017973350622712686,0.019903558609626257,0.013515383698714089,0.028250373296749752,0.024578824877748935,0.01597005849115642,0.014315651039325814
2018-03-20,0.01648285166271293,0.019917993016576794,0.01915182150396742,0.01473850223552618,0.015384090355894844,0.018203914209991418,0.011603908179267295,0.02777377875529002,0.023626417750874384,0.012200884966042564,0.012011415664911656
2018-03-21,0.015636913109124,0.018798357207899723,0.01879787885005805,0.01460293829856206,0.01443088627836621,0.01701437398512263,0.011668355024663459,0.02803684097168338,0.023550447097781778,0.012201054536275204,0.011609332218627217
2018-03-22,0.015309381551287998,0.020706255812011135,0.01944248015449269,0.015561376833766722,0.01640760095506505,0.01753168700353685,0.012045804418191459,0.027541633485165324,0.02316367727027742,0.012333595714966982,0.012494641893170327
2018-03-23,0.01502699522712546,0.01874396946074681,0.018067390445242103,0.014175368915772202,0.014991711241954983,0.015512189752560171,0.010516749933286006,0.022593873108551772,0.022940564529242497,0.012259322870971123,0.01101587353650373
2018-03-26,0.016982584789666678,0.019224407338082034,0.017386946050079552,0.01382068985051948,0.015590907772583908,0.01933981846369654,0.010169277656498887,0.022510942146697452,0.023544888088098997,0.012543608892403066,0.011759504040405834
2018-03-27,0.016369106357616275,0.01866098820854407,0.019234840941901584,0.01377444448683989,0.01571626901155279,0.021245257866168946,0.010085661859632599,0.02708373290582344,0.023628804948598266,0.012434293910423241,0.01192113076482992
